産地,決定主体,銘柄,区分,状態,情報区分,令和8年産_円,令和7年産_円,前年産との差,発表日,備考
宮崎,JAみやざき,コシヒカリ,早期米,発表済み,報道,18000,32000,"約14,000円安（約4割安）",2026-07-13,7月24日までに出荷されたJA米の場合
宮崎,JAみやざき,夏の笑み,早期米,発表済み,報道,16400,,約4割強安,2026-07-15,7月24日までに出荷されたJA米の場合
熊本,JA熊本経済連,コシヒカリ,早期米,発表済み,報道,20700,30000,"9,300円安（約31%安）",2026-07-27,"1等。JA熊本経済連は金額を公表しておらず、日本農業新聞（2026年7月28日）が「27日に2万700円と決めたことが分かった」と報道。前年産30,000円（過去最高）と9,300円安は熊本日日新聞（2026年8月6日）による"
鹿児島,JAさつま日置,金峰コシヒカリ,早期米,発表済み,報道,21600,,約2割安,2026-07-23,"鹿児島県南さつま市の早期米。一昨年より少し高い水準で、コスト指標20,535円を上回る"
高知,JA高知県,南国そだち,早期米,発表済み,報道,14700,22700,"8,000円安（約35%安）",2026-07-18,1等・税込
高知,JA高知県,よさ恋美人,早期米,発表済み,報道,14000,22000,"8,000円安（約36%安）",2026-07-18,1等・税込
高知,JA高知県,コシヒカリ,早期米,発表済み,報道,14000,22000,"8,000円安（約36%安）",2026-07-18,令和6年産並みの水準
愛媛,愛媛県内のJA,コシヒカリ,早期米,発表済み,報道,15400,,前年価格の約54%（約46%安）,2026-08-04,1等米・JA米。JA名は報道で特定されておらず「愛媛県内のJA」
愛媛,全農えひめ,コシヒカリ,早期米,発表済み,報道,16567,,"令和6年産当初（17,496円）並みの水準",2026-08-04,"概算金ではなく全農えひめの買い取り価格。同じ8月4日に愛媛県内のJAの概算金15,400円も報じられている"
徳島,JA徳島県,コシヒカリ,早期米,発表済み,報道,16600,30000,"13,400円安（約45%安）",2026-08-10,"1等米。JA徳島県は「買い取り価格」として提示。決定日は特定されていない（徳島新聞2026年8月11日付が「10日分かった」と報道）。報道は30キロ8,300円・前年比6,700円安で、玄米60キロに換算した金額。令和7年産は報道の前年比から逆算した参考値"
徳島,JA徳島市,—,早期米,発表済み,報道,16632,30024,"13,392円安（約45%安）",2026-08-10,"概算金。決定日は特定されていない（徳島新聞2026年8月11日付が「10日分かった」と報道）。報道は30キロ8,316円・前年比6,696円安で、玄米60キロに換算した金額。令和7年産は報道の前年比から逆算した参考値"
